,FingerHaus,,,,,,Lupp,,,,,,Weimer,,,,,,INNEXIS,,,,,,Sälzer,,,,
,Startup,Partner,Use Case?,Next steps,Intro Mail / Calls,,Startup,Partner,Use Case?,Next steps,Intro Mail / Calls,,Startup,Partner,Möglicher Use Case?,Next steps,Intro Mail / Calls,,Startup,Partner,Möglicher Use Case?,Next steps,Intro Mail / Calls,,Startup,Partner,Möglicher Use Case?,Next steps,Intro Mail / Calls
ContainerGrid,Mittel,Niedrig,Co-Development -> Recyclingmaterialien / Rücknahmesysteme,Sparring ggfls. möglich aber use case vordefinieren,,,Mittel,Niedrig,Sparring,,,,Hoch,Mittel,"Pilotprojekt -> Stoffstrommanagement, Recycling-Marktplatz",Rückmeldung intern -> ggfls. Folgetermin ,,,Mittel,Niedrig,Sparring ,Welches Sparring bzw. zu was ist gewünscht?,,,Niedrig,Niedrig,,,
NEOBIM,Hoch,Hoch,Pilotprojekt -> Machbarkeitstool (zB Integration CAM Daten),Intro herstellen,,,Hoch,Hoch,Pilotprojekt -> Machbarkeitsstudien mit Lupp Know How durchführen,,,,Hoch,Hoch,Pilotprojekt -> Einsatz Machbarkeitstools für Projektentwicklung,schon in Kontakt - Pilotprojekt vereinbart; Testphase -> Kosten klären,,,Mittel,Hoch,Pilotprojekt -> Einsatz Machbarkeitstools für Projektentwicklung (v.a. Greenfield),Fogletermin um Rahmenbedingungen abzustecken,,,Niedrig,Niedrig,,,
flinq,Mittel,Mittel,Sparring,Sparring ggfls. möglich aber use case vordefinieren,,,Hoch,Mittel,"Co-Development, Pilotprojekt -> Erweiterung / Improvement des internen RAG Systems ",,,,Mittel,Mittel,,"Rückmeldung intern -> vermutlich kein Case, suchen etablierte Lösung, keine Ressourcen",,,Niedrig,Niedrig,,,,,Niedrig,Niedrig,,,
Baurion,Mittel,Niedrig,Sparring,Sparring ggfls. möglich aber use case vordefinieren,,,Hoch,Niedrig,Pilotprojekt -> Automatisierte Kaluklation von Ausschreibungsprojekten,,,,Mittel,Mittel,Sparring? Ausschreibungsprozesse,Rückmeldung intern und spezifizieren was gewünscht ist,,,Niedrig,Niedrig,,,,,Hoch,Hoch,Pilotprojekt -> LV-Matching-Prozess,Call aufsetzen mit Fachabteilung; 1-pager vorab senden,
vsight,Hoch,Hoch,Kundenbeziehung -> Videoplattform im Kundenservice ,"Bereits in Kontakt, im Loop behalten",,,Mittel,Mittel,Pilotprojekt -> Remote Baustellenbegehungen,,,,Niedrig,Niedrig,Pilotprojekt -> Remote Baustellenbegehungen -> TBD!,Use Case spezifizieren,,,Niedrig,Niedrig,,,,,Mittel,Mittel,,konkreten Use Case abfragen für mögliches Sparring,
parallelum,Mittel,Mittel,Pilotprojekt / Sparring,Sparring ggfls. möglich aber use case vordefinieren,,,Mittel,Niedrig,Kundenbeziehung / Co-Development,,,,Hoch,Niedrig,Kundenbeziehung / White-label / Co-Development / Pilotprojket / Technologielizenz,Sparring möglich,,,Hoch,Hoch,"Pilotprojekt -> Bestandserfassung, technische Planung etc.  / Co-Development / White-label Lösung",Folgetermin um Genauigkeit und Skalierbarkeit zu evaluieren,,,Mittel,Niedrig,,,
PreserviTec,Mittel,Niedrig,Sparring -> visuellen Bestandsaufnahme vor Umbauten/Modernisierungen; standardisierten Dach‑ und Fassadenchecks für Bestandskunden,Sparring ggfls. möglich aber use case vordefinieren,,,Hoch,Mittel,Pilotprojekt -> Digitale Dokumentation von Neubauten zur Übergabe; wiederverwendbare Use‑Case‑Baukasten,,,,Mittel,Niedrig,Pilotprojekte -> KI‑gestütztes Dach‑ und Fassaden‑Monitoring von Wohn‑ und Gewerbeimmobilien zur Früherkennung von Schäden,kein use case,,,Hoch,Hoch,"Sparring und Pilotprojekte -> Monitoring, Dachbegehung, Leckageerkennung etc. ","Folgetermin, Informationen von PreserviTec vorab schicken ",,,Niedrig,Niedrig,,,
flexxter,Hoch,Mittel,Pilotprojekt -> KI-Planungs- und Abgleichsfunktionen; Dokumentation,konkrete use case abfragen,,,Hoch,Niedrig,eigenes Produkt in der Testphase aktuell ,,,,Hoch,Niedrig,an sich hohe Relevant aber keine Partnerschaft durch Konkurrenzprodukt; keine Wechselbereitschaft,,,,Niedrig,Niedrig,,,,,Mittel,Mittel,Pilotprojekt -> - Nutzung KI-Dokumentationslösungen,konkreten Use Case abfragen für mögliches Sparring,
Genow.ai,Hoch,Hoch,Pilotprojekt -> Service & Sales Enablement,konkrete use case abfragen,,,Hoch,Mittel,Pilotprojekt -> Service & Sales Enablement (bei Ausschreibungen),,,,Hoch,Hoch,Pilotprojekt -> Service & Sales Enablement ,Unterscheidung zu Bau KI's und rechtliche Klärung ,,,Mittel,Mittel,Sparring ,Was genau suchen sie? Use Cases vs. Sparring? Informationen vorab schicken,,,Mittel,Hoch,Kundenbeziehung -> Wissensaufnahme und Anlernen Fachvokabular,Call aufsetzen mit Fachabteilung; 1-pager vorab senden,
